message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
FIELD_NO_INIT	@NonNull field name not initialized	org.cache2k.config.Cache2kConfig	name	3168	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	name	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field keyType not initialized	org.cache2k.config.Cache2kConfig	keyType	3228	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	keyType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field valueType not initialized	org.cache2k.config.Cache2kConfig	valueType	3261	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field loaderExecutor not initialized	org.cache2k.config.Cache2kConfig	loaderExecutor	3989	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	loaderExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	expireAfterWrite	3339	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	expireAfterWrite	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	timerLag	3384	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	timerLag	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	setKeyType(org.cache2k.config.CacheType)	7639	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	setValueType(org.cache2k.config.CacheType)	8069	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	setExpireAfterWrite(java.time.Duration)	8589	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	expireAfterWrite	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	setTimerLag(java.time.Duration)	8946	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	timerLag	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.cache2k.config.CacheType.getComponentType() returns @NonNull	org.cache2k.config.CacheTypeCapture$BaseType	getComponentType()	2557	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/CacheTypeCapture.java	METHOD	org.cache2k.config.CacheType	getComponentType()	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-post/src/src/main/java/org/cache2k/config/CacheType.java
